SRA_run_accession,ZfPV,zpico,zpoxv,Any
SRR11302325,False,False,False,False
SRR10550533,True,False,False,True
SRR10152001,False,False,False,False
SRR13565163,False,False,False,False
SRR10117593,False,False,False,False
SRR870898,False,False,False,False
SRR5125637,False,False,False,False
SRR1821791,False,True,False,True
SRR12661808,False,False,False,False
ERR1475577,False,False,False,False
SRR3381795,False,False,False,False
ERR1216370,False,False,False,False
SRR17994489,False,False,False,False
ERR1442633,False,False,False,False
SRR3381732,False,False,False,False
SRR9198905,False,False,False,False
ERR1621459,False,False,False,False
SRR10010345,True,False,False,True
ERR999465,False,False,False,False
SRR10070661,False,False,False,False
SRR16784083,False,False,False,False
SRR8106354,False,False,False,False
SRR11033827,False,False,False,False
SRR11303347,False,False,False,False
ERR1407582,False,False,False,False
SRR15712675,False,False,False,False
SRR1062207,False,False,False,False
SRR6250229,False,False,False,False
SRR042433,False,False,False,False
ERR1889652,False,False,False,False
SRR12199231,False,False,False,False
SRR8928875,False,False,False,False
SRR14915970,False,False,False,False
SRR8788689,False,False,False,False
ERR871303,False,False,False,False
ERR1692539,False,False,False,False
SRR1872251,False,False,False,False
SRR352485,False,False,False,False
ERR959134,False,False,False,False
ERR596698,False,False,False,False
ERR1821851,False,False,False,False
SRR1797744,False,False,False,False
ERR406888,False,False,False,False
ERR853574,False,False,False,False
SRR9879915,False,False,False,False
ERR1415054,False,False,False,False
ERR853657,False,False,False,False
SRR8888282,False,False,False,False
ERR960378,False,False,False,False
SRR11303363,False,False,False,False
SRR870808,False,False,False,False
SRR6237745,False,False,False,False
ERR1374488,False,False,False,False
SRR7662055,False,False,False,False
SRR13381336,True,False,False,True
ERR273846,False,False,False,False
SRR7268856,False,False,False,False
ERR2723472,False,False,False,False
SRR3923675,False,False,False,False
SRR8787719,False,False,False,False
ERR202499,False,False,False,False
ERR659996,False,False,False,False
SRR10070730,False,False,False,False
SRR9141302,True,True,True,True
SRR12037327,False,False,False,False
SRR6334838,False,False,False,False
SRR11427438,False,False,False,False
SRR10126326,False,False,False,False
ERR3266363,False,False,False,False
SRR10151819,False,False,False,False
ERR1427384,False,False,False,False
SRR13646778,False,False,False,False
ERR1204627,False,False,False,False
SRR6176713,False,False,False,False
ERR1108098,False,False,False,False
ERR1475759,False,False,False,False
ERR1216015,False,False,False,False
ERR1374744,False,False,False,False
SRR8883861,False,False,False,False
SRR7410362,False,False,False,False
SRR1872057,False,False,False,False
ERR4568386,False,False,False,False
ERR1888524,False,False,False,False
SRR1872393,False,False,False,False
ERR1427002,False,False,False,False
SRR12774376,False,False,False,False
SRR12469172,False,False,False,False
ERR1427161,False,False,False,False
ERR998192,False,False,False,False
SRR959357,False,False,False,False
SRR6654778,False,False,False,False
ERR2723045,False,False,False,False
SRR3139107,False,False,False,False
ERR1374403,False,False,False,False
SRR19387526,False,False,False,False
SRR10434083,False,False,False,False
SRR5593166,False,False,False,False
SRR11302470,False,False,False,False
SRR13998262,False,False,False,False
ERR1888948,False,False,False,False
SRR21782742,False,False,False,False
SRR1821806,False,True,False,True
SRR6908685,False,True,False,True
SRR11114798,False,False,False,False
ERR1888864,False,False,False,False
DRR162502,False,True,False,True
SRR8883738,False,False,False,False
SRR13242481,False,False,False,False
SRR10541202,False,False,False,False
SRR9875017,False,False,False,False
ERR1205329,False,False,False,False
ERR1620564,False,False,False,False
ERR1426862,False,False,False,False
SRR15931295,False,True,False,True
SRR998887,False,False,False,False
ERR1204545,False,False,False,False
ERR1889399,False,False,False,False
ERR1888269,False,False,False,False
SRR11577272,False,False,False,False
ERR1475723,False,False,False,False
SRR6469360,False,False,False,False
ERR960442,False,False,False,False
SRR7410439,False,False,False,False
SRR5810854,False,False,False,False
ERR984490,False,False,False,False
SRR11186408,False,False,False,False
SRR17691948,False,False,False,False
SRR3179613,False,False,False,False
ERR998228,False,False,False,False
ERR1124856,False,False,False,False
ERR998125,False,False,False,False
SRR6469737,False,False,False,False
SRR9609653,False,False,True,True
ERR1408773,False,False,False,False
SRR6829422,False,True,True,True
ERR1891652,False,False,False,False
SRR9198684,False,False,False,False
ERR1620504,False,False,False,False
ERR960983,False,False,False,False
SRR11302782,False,False,False,False
SRR9198774,False,False,False,False
SRR12103768,False,False,False,False
SRR7468700,False,False,True,True
SRR11214378,False,False,False,False
SRR9198727,False,False,False,False
ERR960770,False,False,False,False
SRR7801963,False,False,False,False
ERR1889782,False,False,False,False
ERR1216136,False,False,False,False
SRR13181553,False,False,False,False
SRR6072783,False,True,False,True
SRR1872139,False,False,False,False
SRR21092439,False,False,False,False
SRR2835258,False,False,False,False
ERR1204309,False,False,False,False
ERR853485,False,False,False,False
ERR998222,False,False,False,False
SRR17413281,False,False,False,False
ERR1124569,False,False,False,False
SRR7633480,False,False,False,False
SRR797918,False,False,False,False
ERR1205110,False,False,False,False
SRR6235065,False,False,False,False
SRR14679151,False,False,False,False
SRR22252686,False,False,False,False
ERR968069,False,False,False,False
SRR8928746,False,False,True,True
SRR15931300,False,False,False,False
SRR9961219,False,False,False,False
ERR1407598,False,False,False,False
ERR1620406,False,False,False,False
ERR1888456,False,False,False,False
SRR11427211,False,False,False,False
SRR6654783,False,False,False,False
ERR2723093,False,False,False,False
ERR279667,False,False,False,False
ERR1373723,False,False,False,False
SRR1872282,False,False,False,False
ERR1204271,False,False,False,False
SRR1872095,False,False,False,False
ERR1821772,False,False,False,False
SRR18192290,False,False,False,False
SRR7268880,False,False,False,False
ERR1888555,False,False,False,False
SRR13437208,True,False,False,True
ERR1108006,False,False,False,False
SRR1872782,False,False,False,False
SRR11303308,False,False,False,False
ERR1415148,False,False,False,False
SRR11777170,False,False,False,False
SRR5342784,True,True,False,True
SRR20001189,False,False,False,False
SRR6654488,False,False,False,False
SRR16195509,False,False,False,False
ERR3957801,False,False,False,False
ERR737769,False,False,False,False
SRR6250081,False,False,False,False
SRR7268949,False,False,False,False
SRR16647482,False,False,False,False
SRR11917467,False,False,False,False
ERR737698,False,False,False,False
ERR1621410,False,False,False,False
ERR525372,False,False,False,False
ERR4029259,False,False,False,False
SRR13565138,False,False,False,False
SRR6417973,False,True,False,True
SRR15831125,False,False,False,False
ERR780151,False,False,False,False
SRR2834935,False,False,False,False
SRR10974083,False,False,False,False
SRR14217724,False,False,False,False
ERR1889416,False,False,False,False
SRR11302415,False,False,False,False
SRR6261577,False,False,False,False
ERR853477,False,False,False,False
ERR1204346,False,False,False,False
SRR15813434,False,False,False,False
SRR9207189,False,False,False,False
ERR871603,False,False,False,False
ERR5056249,False,False,True,True
SRR6268131,False,False,False,False
ERR1374439,False,False,False,False
ERR958835,False,False,False,False
